Designator;Value;Package/Footprint;Mfg Part #;Qty
C1, C50, C51, C52, C53, C54, C55, C56, C57, C59, C61, C62, C63, C64, C65, C66, C67, C68;100nF;0402;CL05B104KO5NNNC;18
C1;100nF;0402;CL05B104KO5NNNC;1
C50;100nF;0402;CL05B104KO5NNNC;1
C51;100nF;0402;CL05B104KO5NNNC;1
C52;100nF;0402;CL05B104KO5NNNC;1
C53;100nF;0402;CL05B104KO5NNNC;1
C54;100nF;0402;CL05B104KO5NNNC;1
C55;100nF;0402;CL05B104KO5NNNC;1
C56;100nF;0402;CL05B104KO5NNNC;1
C57;100nF;0402;CL05B104KO5NNNC;1
C59;100nF;0402;CL05B104KO5NNNC;1
C61;100nF;0402;CL05B104KO5NNNC;1
C62;100nF;0402;CL05B104KO5NNNC;1
C63;100nF;0402;CL05B104KO5NNNC;1
C64;100nF;0402;CL05B104KO5NNNC;1
C65;100nF;0402;CL05B104KO5NNNC;1
C66;100nF;0402;CL05B104KO5NNNC;1
C67;100nF;0402;CL05B104KO5NNNC;1
C68;100nF;0402;CL05B104KO5NNNC;1
C2;10nF;0402;CL05B103KB5NNNC;1
C3;470nF;0402;CL05A474KP5NNNC;1
C4, C6, C8;20pF;0402;CL05C220JB5NNNC;3
C5, C11;22µF;0402;GRM155R60J226ME11D;2
C7, C9, C10;10µF;0402;CL05A106MP5NUNC;3
C12;1µF;0402;CL05A105KO5NNNC;1
C14, C18;47µF;0603;CL10A476MQ8QRNC;2
C21, C27, C34, C41;100µF;1206;GRM31CR61A107ME05L;4
C15, C19, C22, C23, C28, C29, C35, C36, C42, C43;4.7µF;0201;GRM035R60J475ME15D;10
C16, C17, C20, C24, C25, C26, C30, C31, C32, C33, C37, C38, C39, C40, C44, C45, C46, C47;470nF;0201;GRM033R60J474KE90D;18
C48, C49;4.7nF;0402;CL05B472KA5NNNC;2
C13, C58, C60;4.7µF;0402;CL05A475KP5NRNC;3
D1;DONE;0402;NCD0402G1;1
D2;PMEG2020EJ;SOD-323;PMEG2020EJF;1
D3;CHRG;0402;NCD0402B1;1
J1;USB_C_Receptacle_USB2.0;;U262-161N-4BVC11;1
J5;Conn_02x25_Counter_Clockwise;;FH12-50S-0.5SH(55);1
L1;1.5µH;0402;SDFL1005Q1R5KTF;1
L2, L4;3.3µH;0402;SDFL1005Q3R3KTF;2
L3;2.2µH;0402;SDFL1005Q2R2KTF;1
L5;10µH;0603;SDFL1608S100KTF;1
L6, L7;600R/0.5A;0402;BLM15AX601SN1D;2
Q1;MBT3904DW1;SOT-363;MBT3904DW1T1H;1
R1, R5, R6, R7, R16, R17;4.7k;0402;RC0402JR-074K7L;6
R2, R3;1.8k;0402;RC0402JR-071K8L;2
R4, R15, R31, R35, R36;1k;0402;RC0402JR-071KL;5
R8, R9, R32;200Ω;0402;AC0402JR-07200RL;3
R10, R11, R12, R13, R26, R28;10k;0402;RC0402JR-0710KL;6
R14;12k;0402;RC0402FR-0712KL;1
R18, R27;3k;0402;RC0402FR-073KL;2
R19;2k;0402;RC0402FR-072KL;1
R20, R29, R30;30k;0402;AF0402FR-0730KL;3
R21, R23;120k;0402;RC0402FR-07120KL;2
R22;150k;0402;RC0402FR-07150KL;1
R24, R34;180k;0402;RC0402FR-07180KL;2
R25;57.6k;0402;RC0402FR-0757K6L;1
R33;953k;0402;RC0402FR-07953KL;1
U1;xc7s25ftgb196;;XC7S25-1FTGB196C;1
U2;MX25R3235FZBxx1;USON-8;MX25R3235FZBIL0;1
U3;FT2232HQ;QFN-64;FT2232HQ-REEL;1
U4;LTC3555;QFN-28;LTC3555IUFD-1#PBF;1
U5;TLV61046ADB;SOT-23-6;TLV61046ADBVR;1
U6, U7, U8, U9;TXS0108E;TSSOP-20;TXS0108EPWR;4
X1;SG-8002JA;;CB3LV-3C-12M000000;1